Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,PureState_0,0.36984905880193847,0.39046174314924836,0.31263000147564385,0.33078805307601217,0.24999999999999983,0.27630833023187035,0.7285533905932791,0.6948710643572943,0.21638412493654735,0.31159896868654735,True,True,True,True,True,True,True,True,True,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_0,0.644533440820007,0.6385108014734375,0.5640716283354038,0.5578729926702706,0.5396745216412102,0.5236243796318042,0.034381145843406194,0.03848188771858176,0.4143009306779156,0.3522892119279156,True,True,True,True,True,True,True,True,True,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,PureState_1,1.0,0.9999999999999999,0.8325546111576978,0.8325546111576977,0.7285533905932736,0.7308836988168532,0.021446609406727442,0.02317129965123467,1.2217552186865477,1.1187278749365477,True,True,True,True,True,True,True,True,True,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_1,0.9816046744702304,0.9797228386785699,0.8222807933964387,0.8211700052503652,0.5331059286299109,0.5318365950789234,0.49037281554852646,0.469580170531008,0.4747863846424073,0.4313293533924073,True,True,True,True,True,True,True,True,True,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,PureState_2,1.0,0.9999999999999999,0.8325546111576977,0.8325546111576978,0.7285533905932737,0.7309049090318092,0.021446609406727508,0.02318019405127588,1.2295677186865475,1.1314231874365475,True,True,True,True,True,True,True,True,True,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_2,0.9579952898113879,0.9560812642151854,0.8139379278715312,0.8127853995205863,0.3742348489209511,0.365040244063151,0.006495757754154535,0.010300692159244796,0.710840483723455,0.645410796223455,True,True,True,True,True,True,True,True,True,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,PureState_3,0.5065043015667204,0.5095476529273837,0.4569432956557112,0.45831162753049765,0.5192902537373686,0.5254086815232888,0.021446609406727362,0.023294619741691537,0.00634765625000025,2.498001805406602e-16,True,True,True,True,True,True,True,True,False,False
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_3,0.948749984862718,0.9472884753362294,0.8078542488016653,0.8066991260770429,0.3697977111196571,0.3626158260032894,0.2877051603812006,0.2800835609269796,0.0668262800472644,0.0770801862972644,True,True,True,True,True,True,True,True,True,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,PureState_4,0.9986500354062352,0.9985312320946446,0.8321817780227043,0.8321721150551531,0.2587907677397517,0.2755509360261702,0.7285533905932784,0.6961398123295072,0.009655972395995416,0.030652066145995416,True,True,True,True,True,True,True,True,False,True
qpeexact_5_Mutant_Add_ch_P10_Q0_[].qasm,Quratest_4,0.4031068225568467,0.3998945183126724,0.3589040246427548,0.35545966182490274,0.38520560718996966,0.3760399552490676,0.10844466743068594,0.10836547291938436,0.10360642405578935,0.08944626780578935,True,True,True,True,True,True,True,True,True,True
